CPU Name,"Apr 13, 2024","Apr 14, 2024","Apr 15, 2023","Apr 15, 2024","Apr 16, 2024","Apr 21, 2024","Apr 22, 2024","Apr 23, 2024","Apr 24, 2024","Apr 26, 2024","Apr 27, 2024","Apr 28, 2024","Apr 29, 2024","Apr 3, 2024","Apr 30, 2024","Apr 4, 2024","Aug 10, 2024","Aug 21, 2024","Aug 25, 2024","Aug 7, 2024","Aug 8, 2024","Aug 9, 2024","Dec 1, 2024","Dec 15, 2022","Dec 2, 2024","Dec 26, 2023","Dec 3, 2024","Dec 4, 2024","Dec 5, 2024","Dec 6, 2024","Feb 15, 2024","Feb 24, 2024","Feb 3, 2024","Jan 30, 2024","Jul 10, 2024","Jul 11, 2024","Jul 16, 2024","Jul 18, 2024","Jul 22, 2024","Jul 28, 2024","Jul 5, 2024","Jun 12, 2024","Jun 2, 2024","Jun 21, 2024","Jun 27, 2024","Jun 4, 2024","Jun 5, 2024","Jun 7, 2024","Jun 9, 2024","Mar 10, 2024","Mar 11, 2024","Mar 26, 2024","May 1, 2024","May 10, 2024","May 13, 2024","May 14, 2024","May 15, 2024","May 16, 2024","May 17, 2024","May 18, 2024","May 2, 2024","May 20, 2024","May 21, 2024","May 22, 2024","May 23, 2024","May 24, 2024","May 28, 2024","May 31, 2023","May 31, 2024","May 4, 2023","May 4, 2024","May 7, 2024","May 9, 2024","Nov 1, 2024","Nov 10, 2024","Nov 11, 2024","Nov 12, 2024","Nov 13, 2024","Nov 14, 2024","Nov 15, 2021","Nov 15, 2024","Nov 16, 2024","Nov 17, 2024","Nov 18, 2024","Nov 19, 2024","Nov 2, 2024","Nov 20, 2024","Nov 21, 2024","Nov 22, 2021","Nov 22, 2024","Nov 23, 2024","Nov 24, 2024","Nov 25, 2024","Nov 26, 2024","Nov 27, 2022","Nov 27, 2024","Nov 28, 2024","Nov 29, 2024","Nov 3, 2024","Nov 30, 2024","Nov 4, 2024","Nov 5, 2024","Nov 6, 2024","Nov 7, 2024","Nov 8, 2024","Nov 9, 2024","Oct 1, 2024","Oct 10, 2024","Oct 11, 2024","Oct 12, 2024","Oct 13, 2024","Oct 14, 2024","Oct 15, 2024","Oct 16, 2024","Oct 17, 2024","Oct 18, 2024","Oct 19, 2024","Oct 2, 2024","Oct 20, 2024","Oct 21, 2024","Oct 22, 2024","Oct 23, 2024","Oct 24, 2024","Oct 25, 2024","Oct 26, 2023","Oct 26, 2024","Oct 27, 2024","Oct 28, 2024","Oct 29, 2024","Oct 3, 2024","Oct 30, 2024","Oct 31, 2024","Oct 4, 2024","Oct 5, 2024","Oct 6, 2024","Oct 7, 2024","Oct 8, 2024","Oct 9, 2024","Sep 10, 2024","Sep 11, 2024","Sep 12, 2024","Sep 13, 2024","Sep 14, 2024","Sep 15, 2024","Sep 16, 2024","Sep 17, 2024","Sep 18, 2024","Sep 19, 2022","Sep 19, 2024","Sep 20, 2024","Sep 21, 2024","Sep 22, 2024","Sep 23, 2024","Sep 24, 2024","Sep 25, 2024","Sep 26, 2024","Sep 27, 2024","Sep 28, 2024","Sep 29, 2024","Sep 30, 2024","Sep 6, 2024","Sep 7, 2024","Sep 8, 2024","Sep 9, 2024"
AMD Ryzen 3 1200,,,,,,,,,,,,,,,,,,,,,,,10.5,,15.99,,,15.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,18.0,,,19.99,17.99,,22.0,18.5,,18.5,,,,15.0,,19.23,,,,,25.0,18.48,,18.5,19.95,,,,,14.99,20.99,19.95,,14.5,11.0,,,,,,19.97,,,27.85,,,25.0,,30.0,,24.95,,47.5,,22.83,,15.0,,19.37,27.0,,19.5,15.19,,,,,,,28.99,,,34.75,,19.99,12.0,19.5,,13.99,,,20.0,13.0,,,,
AMD Ryzen 3 1300X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,,,,,,,,,,,,25.0,17.83,,,,,,,25.0,,29.99,,,,,,,,,,,,,26.99,,,,,,,21.25,,,,31.49,,,,,26.0,,,,20.5,,,34.99,,,,,,,,,,26.99,,,,,,,,,,,,,,23.0,27.99,,,,,,,21.5,,20.0,,,,,,26.0,,,,
AMD Ryzen 3 2200G,,,,,,,,,,,,,,,,,,,,,,,22.49,,,,28.5,24.99,27.95,24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,24.99,,28.45,,,,20.0,26.75,27.49,26.0,25.0,24.5,,,30.23,,18.99,23.95,39.95,,25.5,,28.34,29.99,26.99,,,59.99,24.18,,,27.5,,,19.0,28.0,22.25,31.5,37.99,39.99,26.24,,,31.0,,30.0,,,,,25.0,,27.99,,20.0,,29.0,,20.08,,30.0,43.5,25.74,28.48,,38.56,26.0,17.75,19.0,27.0,23.5,29.0,,35.0,27.49,,139.0,22.74,31.99,37.5,29.0,21.75,60.0,,,,,29.0,24.99
AMD Ryzen 3 3100,,,,,,,,,,,,,,,,,,,,,,,,,38.04,,23.0,39.99,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,32.54,,,,,21.5,46.25,36.03,,12.5,,,,,,,,35.0,44.5,,,,23.5,28.0,45.0,35.99,35.66,49.0,35.0,,,34.99,52.99,44.95,,64.99,54.0,31.0,,,30.0,,39.0,,,20.5,,24.89,,,29.99,,,,,,38.99,,,,,40.0,,37.49,60.0,,,,22.5,,,35.65,28.29,,27.99,37.49,,,,,45.0,,,,,39.6
AMD Ryzen 3 3200G,,,,,,,,,,,,,,,,,,,,,,,38.83,,35.98,,33.5,28.8,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,,30.66,35.0,29.99,,54.99,,30.0,25.5,40.99,20.13,34.99,58.12,,30.87,,,44.99,,,,37.4,34.99,22.82,50.99,49.99,30.42,,36.25,40.0,,24.4,33.65,,,37.49,32.48,19.99,40.0,29.75,60.25,34.99,45.36,44.99,76.66,33.75,38.88,39.9,43.5,,,41.5,,37.5,42.5,,115.0,34.99,,31.0,36.5,,37.5,32.99,,,40.0,28.0,39.99,,45.0,56.39,,45.0,50.0,,,39.0,,19.99,,48.29,,37.5,,,,,29.33
AMD Ryzen 3 3300X,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,34.0,,,,,45.0,,,,,,,,,45.0,,,,,,,,,,45.0,,,,,,,,,,,,,47.47,,,,,,,,69.96,,,,,,,,,69.99,43.34,,,,,,,,,,,,,,,51.5,,,,,40.0,,40.0,,,,,,,,
AMD Ryzen 3 4100,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.79,,,,,28.0,,49.99,,34.44,,44.99,,,45.0,,,,,,,,26.0,,,,42.97,,49.8,,,,,48.0,,,,,54.95,,,,,40.0,40.0,,,,,,,,,,55.0,,34.0,,,,,,,,,30.0,,,,,,,,,,,39.87,,,,,,33.0,50.0,,45.99,,,79.99,,,,,,15.5
AMD Ryzen 5 1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,85.62,,,,,,,,,25.42,,,22.25,,,25.79,,,18.0,22.99,,23.99,15.5,,30.0,,,,25.0,,,25.99,,18.0,,,50.99,,,,25.0,15.5,24.33,22.95,,,,,28.8,,,,32.99,,18.65,,18.5,18.0,24.99,15.0,20.0,,,16.13,12.5,,,,,,,24.99,,,,,,23.5,17.0,,,17.75,,,,
AMD Ryzen 5 1500X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,28.0,,,,,25.0,,,,33.33,99.99,39.99,,,,,,,,,,,,,,26.5,,,,,,,,,
AMD Ryzen 5 1600,,,,,,,,,,,,,,,,,,,,,,,50.74,,25.98,,12.7,36.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.53,,,,,,,,,,,,,20.0,,,47.83,23.76,28.0,,,27.5,30.0,28.0,84.99,25.99,39.99,25.0,28.0,,20.99,36.0,25.99,36.99,48.5,,41.0,,27.99,24.0,30.0,26.0,,,,26.0,56.24,52.25,,44.99,31.49,29.99,28.98,,29.99,21.49,37.0,29.99,25.0,33.0,,,38.99,32.5,,,32.5,26.37,54.5,,29.99,50.0,,20.0,34.99,27.75,46.0,52.65,110.0,82.75,25.99,60.22,34.99,,,60.24,24.39,19.99,,,,30.0,15.5,28.0,123.16,,,30.0,21.5,29.99,,,,30.0,30.0
AMD Ryzen 5 1600X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,29.99,36.99,39.75,30.0,,34.5,,,,15.33,,,,,,,32.99,,49.0,,,,,,22.5,35.0,39.95,35.0,,,,,35.0,20.0,,,34.2,30.0,30.0,,,,,,34.5,,,65.0,,32.99,,,,29.0,29.99,,,34.99,,,,,24.57,24.99,,,,33.0,,22.5,,,,,,,40.0,29.95,24.99,,,,
AMD Ryzen 5 2400G,,,,,,,84.99,,,,37.99,,89.99,,,,,,,,,,63.12,,264.49,,92.6,91.23,55.9,110.91,,,,,,,,,,,,,36.99,,,,45.99,,,,,,,35.0,,,62.99,,,,36.99,,,,,42.99,,,,,,,,51.23,,35.15,39.99,749.95,89.0,,74.73,32.5,53.75,36.54,54.41,,102.32,90.0,,21.25,30.0,41.49,33.99,,,,,29.99,,27.75,30.99,42.24,22.0,44.48,84.97,56.99,95.33,99.3,89.99,44.99,20.5,109.5,28.57,52.98,57.49,41.0,56.18,48.0,,61.69,270.0,212.5,27.48,24.99,,76.49,57.5,112.87,47.76,69.99,62.77,81.31,75.0,71.25,55.87,50.98,202.08,,25.81,43.29,56.4,87.67,,23.4,,41.99,,,50.09,67.75,34.99,,54.75,33.23,96.5,49.66,45.24,115.0,,63.5,,,25.25,57.99
AMD Ryzen 5 2600,,,,,,49.99,,,,,,,,,,,,,,,,,40.82,,37.25,,38.33,31.91,49.37,67.5,,,,,,,,,,,,,,,46.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.53,46.0,38.67,38.97,39.99,182.5,33.33,,45.0,27.32,39.99,41.66,34.0,33.5,31.01,32.6,,34.97,37.0,35.75,34.0,38.0,,30.82,40.0,46.66,35.87,38.5,,34.75,36.33,38.5,38.5,39.64,47.0,91.75,38.0,46.67,,30.0,30.0,51.98,37.5,34.99,36.25,34.16,41.96,34.25,29.0,39.5,36.0,,,,48.0,33.25,28.0,36.37,29.75,23.12,36.65,36.33,34.99,30.81,44.0,40.4,,,61.87,35.35,28.52,31.98,38.0,35.13,38.75,,41.25,38.5,34.0,35.23,34.0,43.0,37.5,28.52,37.49,,29.67,31.5,,,60.3,48.5
AMD Ryzen 5 2600X,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.57,44.99,45.0,47.5,,50.0,25.0,44.0,79.99,,,35.0,,,39.99,,41.0,34.5,46.5,,43.55,,,,44.67,42.0,42.0,,,13.5,65.0,35.0,31.5,41.4,34.0,33.0,51.0,33.39,44.97,34.0,,39.75,35.0,40.5,,36.49,,,34.99,,,18.54,45.0,65.0,49.99,42.0,,,37.48,36.0,40.0,,37.0,35.75,,39.0,39.0,,,38.49,,38.0,,46.99,40.0,,37.0,,,70.0,,44.5,,43.0,68.0,,,44.99,36.83
AMD Ryzen 5 3400G,,,,,,,,,,,,,,,,,,,,,,,77.24,,49.99,,41.65,70.0,56.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,46.66,50.0,64.0,49.2,,185.73,,179.99,46.84,43.0,43.0,46.75,,,44.99,44.0,61.98,54.02,99.99,,53.0,78.5,559.99,59.33,,48.5,52.66,133.75,,,41.0,49.13,,198.33,119.5,119.0,,37.63,39.95,49.66,,,46.85,39.99,55.99,45.0,65.0,,191.37,,42.99,43.5,,,42.0,41.99,39.0,,89.84,71.5,180.33,,87.74,,74.66,299.99,92.95,,99.0,98.74,,,,47.5,59.37,67.0,109.0,106.87,94.0,79.48,,295.26,,50.0,80.5,,,59.99,54.99
AMD Ryzen 5 3500,,,,,,,,,,,,,,,,,,,,,,,,,39.99,,,45.88,,,,,,,,,,,,,,,,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,39.0,40.0,46.0,,,,,42.0,45.99,,,,,,69.5,,,,,,,,45.98,,,49.5,,,,,60.0,59.99,,,,,,,,50.15,46.0,19.5,55.0,43.0,,,,,,,,,42.99,,,,40.0,,30.0,,,,,,50.0,31.0,22.49,,60.0,,,,,,,,,,80.0,59.0,,,,,,,,
AMD Ryzen 5 3500X,,,,,,,,,,,,,,,,,,,,,,,46.0,,44.0,,,,50.0,,,,,70.5,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.88,,,,70.0,,,,,46.0,,,,,,46.0,,49.0,46.0,89.31,,,,,,,84.99,,,,,,46.99,,45.07,,,,,,,,,,,,65.0,,,,,,48.0,,,,25.0,,,47.5,,,,,,,,,,,,,,,,44.04,,,,,,44.0
AMD Ryzen 5 3600,,,,,,,,,,,,75.0,,,79.14,,,,,,,67.99,56.51,,58.64,,57.21,75.28,58.19,65.0,103.03,,,,,70.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99,,,,,,,,,64.78,58.34,55.83,56.0,71.16,54.5,,63.45,53.27,55.64,53.5,64.55,56.4,63.32,57.15,,64.86,62.6,59.57,64.0,65.98,,61.8,66.75,53.33,57.33,53.12,53.61,57.64,55.89,50.43,38.62,49.67,59.87,104.6,62.15,63.9,58.38,63.63,61.08,61.69,62.2,69.44,55.65,50.09,55.11,53.69,52.72,62.36,57.6,53.49,,57.69,64.4,64.17,54.69,,58.2,60.66,53.46,50.12,60.51,59.43,66.35,65.81,,,,66.79,126.67,55.56,52.38,58.04,50.0,,48.97,49.8,64.16,55.4,61.1,55.83,56.49,57.33,57.49,72.43,60.57,49.99,,64.99,,
AMD Ryzen 5 3600X,,,,,,,,,,,,,,,,,,,,,,,15.49,,62.88,,62.7,,72.5,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99,,48.0,,55.0,,58.43,75.0,60.5,65.67,45.99,60.33,50.0,61.0,,57.6,14.99,26.0,69.0,60.08,,56.0,,68.75,57.5,58.42,63.3,63.16,,57.0,65.0,58.26,69.87,281.0,43.84,63.25,23.75,64.18,62.48,45.0,52.0,63.49,,59.99,42.67,54.24,66.0,,69.0,56.0,,63.0,65.0,60.0,59.66,62.99,70.5,61.0,49.99,52.23,59.35,,65.5,,53.57,,80.0,,64.66,,15.0,46.74,59.99,,57.25,71.73,67.64,55.0,64.25,,69.99,59.32,52.78,53.0,16.99,61.0,,,,
AMD Ryzen 5 4500,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,50.0,55.0,,,,,,,81.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.49,,,,40.99,44.0,,58.99,57.42,56.43,64.0,,,47.47,,,65.0,,50.25,,,,,69.99,,,56.67,77.77,59.95,,49.99,,50.0,89.99,70.0,,,46.25,,44.99,58.75,,48.0,,49.99,45.0,,60.0,65.99,55.0,45.99,90.62,,50.0,65.0,59.0,54.99,,,62.0,,,73.09,,56.49,,52.32,,59.48,,,57.97,,,,88.0,,,,,50.96,48.4,50.96,,62.99,,,,,50.96,20.5
AMD Ryzen 5 4600G,,,,,,,,,,,,,,,,,,,,,,,52.5,,85.0,,,79.99,,,,,,,,,,,,,,,,,,,,,,,,117.93,,,,,,,,,,,,,,,,,,,,,,,49.0,56.2,,,90.0,,,,,,60.0,79.69,,,,65.0,,,,,121.07,62.55,,,89.99,,,75.0,,74.58,,,,,39.99,,48.0,49.99,,,,,,75.0,73.5,,75.0,,,75.0,,,,,83.49,,,65.0,99.95,,93.46,99.0,,,,80.0,,75.98,172.89,79.99,87.99,90.0,,,,79.99,74.99,,74.0,75.0,78.0,,79.99,,,89.99,,,,
AMD Ryzen 5 5500,,,,,,,,,,,,,,,,,,,,,,90.0,57.0,,97.5,,62.05,66.7,80.24,,,,,,,,,,,87.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66,84.05,60.2,72.0,57.49,69.66,,61.32,61.0,60.5,53.0,64.25,,74.99,53.74,,63.33,65.24,68.99,71.0,,,65.0,,71.49,56.0,21.5,62.0,57.33,64.0,61.33,,69.99,64.0,66.53,64.99,42.73,62.7,72.0,76.65,,51.33,71.5,74.99,75.25,32.6,,75.0,79.98,72.0,70.0,,72.07,77.5,66.1,66.0,90.0,69.5,58.66,46.99,,79.99,74.48,69.99,87.07,90.34,62.0,62.0,65.0,53.75,,32.9,71.92,57.66,,61.0,75.0,66.1,78.99,52.48,69.66,80.0,55.0,67.5,41.25,,69.33,,,,32.75
AMD Ryzen 5 5600,,,,,,,,,,,,,,,,,,,,,,,89.67,,63.75,,100.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.99,,,,,,,,,,,85.57,92.5,84.0,83.73,98.0,,59.99,79.99,107.99,92.0,83.33,95.5,,77.0,,70.0,88.81,80.0,94.5,95.0,,82.5,77.5,97.25,88.25,89.51,,71.86,74.62,78.0,96.85,,,,93.0,,,,107.99,94.66,94.5,88.0,100.99,,,93.33,110.0,76.53,84.49,84.49,,,60.0,96.83,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 5600G,,,,,,,,,,,150.97,,,,,,,,,,,,88.99,,84.04,174.99,44.0,62.66,99.08,114.47,,,,,,,,,,,,,,,,,,,,,,,141.32,,,,,,,,,,,,,,,,,,,,146.91,88.74,89.77,,,92.03,85.41,,88.6,97.5,90.82,88.83,84.99,91.64,97.94,78.82,,108.19,86.72,84.33,89.33,59.0,,84.6,79.48,108.4,86.0,92.0,86.66,60.25,83.33,87.83,113.99,95.0,89.99,108.0,96.75,50.0,88.5,84.61,106.53,82.81,93.46,87.5,78.33,76.36,79.5,76.33,87.5,87.5,101.97,95.0,,,99.79,82.5,43.78,66.5,100.0,75.0,75.0,80.49,90.5,74.48,85.83,88.0,60.48,,99.99,134.99,63.97,93.46,82.11,77.57,97.5,,88.33,82.8,83.5,98.29,84.5,98.16,84.23,101.41,106.5,92.24,87.47,77.91,84.99,85.0,91.0,60.81
AMD Ryzen 5 5600X,125.0,,152.71,,,,,,,,,,,,,,,,,,,,82.26,,84.66,,93.48,105.8,88.53,95.0,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,134.97,,99.0,,,,,,134.99,,,,,,,,,108.56,101.31,97.88,100.5,93.22,78.99,,99.16,93.95,89.89,78.75,96.44,96.8,78.7,96.07,,81.83,86.9,84.16,78.3,80.58,,79.78,95.86,87.57,85.4,83.2,80.53,94.98,95.54,104.1,82.12,85.6,96.36,88.0,110.75,96.17,90.13,104.84,84.21,110.99,72.5,90.02,107.38,91.72,93.89,94.0,93.81,89.16,94.79,90.86,,89.35,96.63,92.15,85.09,95.0,98.78,96.29,108.99,82.67,91.5,87.5,97.99,80.6,96.19,82.1,71.5,83.19,94.2,92.59,93.14,92.28,92.66,,101.43,100.56,97.5,90.42,92.54,98.85,95.67,95.11,124.49,69.66,105.22,92.71,,86.38,102.61,78.78
AMD Ryzen 5 5600X3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,249.99,166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.99,,,,,,,,,,,239.0,,,,,,,339.99,199.0,,,,,,,,189.99,,,,,,
AMD Ryzen 5 7500F,,,,,,,,,,,,,,,,,,,,,,,,,145.66,,161.22,188.99,128.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,120.01,,,,159.95,,154.75,164.72,,,,,165.55,,140.0,,209.0,,,169.48,,201.59,199.99,,,,,,,152.5,165.85,,140.0,,191.36,,,,124.47,,,,,,,177.0,159.99,,,,,130.0,,,,162.99,,,191.26,,,195.2,,,,,,,,119.0,,169.99,145.0,,,,,169.0,,,,159.0,,,,,162.6
AMD Ryzen 5 7600,,,,,,,,,,,,189.98,,,,,,,,,,,149.99,,102.5,,186.58,208.49,156.0,169.99,,224.13,,,,,,149.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,174.98,,,151.3,129.99,,130.0,120.0,138.5,135.0,152.33,,,160.0,,137.5,39.0,,136.67,161.94,161.44,135.17,70.0,145.0,139.0,148.75,135.0,149.41,,149.83,,159.97,166.5,,,175.0,131.0,135.0,149.99,,140.0,,39.0,,132.5,145.5,,,,65.0,189.99,140.0,,,140.0,146.5,,147.5,179.95,,156.35,174.5,140.0,152.5,,140.0,130.0,139.33,161.31,,,140.0,,140.0,155.5,,150.0,140.0,,135.99,140.0,159.0,135.0,,,159.97,140.25
AMD Ryzen 5 7600X,,,,194.99,,,,,,,,,,,,173.56,,,169.99,,,,196.92,,186.39,,180.0,163.33,200.21,167.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,199.99,182.94,199.0,186.59,161.28,177.68,,182.15,171.5,155.0,135.28,171.25,136.3,161.48,160.0,,181.09,150.0,150.0,165.66,129.58,,158.41,143.73,180.79,182.5,186.29,197.99,165.05,110.0,175.61,188.98,169.22,188.36,120.75,128.66,189.63,111.5,179.33,173.06,126.78,212.33,193.94,199.0,192.0,172.5,189.95,179.25,155.0,139.98,171.6,,,181.75,,,183.16,117.5,165.0,159.5,161.5,172.5,120.38,100.0,128.47,168.79,172.66,150.83,177.99,175.37,147.67,169.5,172.59,168.0,,160.49,171.99,157.5,170.4,120.95,151.25,151.0,148.97,170.5,171.33,178.73,127.5,,93.99,189.95,171.4
AMD Ryzen 5 8500G,,,,,,,,,,,,,,,,,,,,,,,,,132.5,,122.5,,164.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.99,,169.99,,,122.5,,,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.99,,,,,139.99,,,,,,,,,,,,160.69,,,,,,,,,,,,
