CPU Name,"Apr 13, 2024","Apr 15, 2024","Apr 16, 2024","Apr 17, 2024","Apr 19, 2024","Apr 20, 2023","Apr 22, 2024","Apr 25, 2024","Apr 26, 2024","Apr 27, 2024","Apr 29, 2024","Aug 14, 2024","Aug 20, 2024","Aug 29, 2024","Dec 1, 2024","Dec 10, 2023","Dec 2, 2024","Dec 3, 2023","Dec 3, 2024","Dec 4, 2024","Dec 5, 2024","Dec 6, 2024","Dec 7, 2024","Feb 12, 2022","Feb 21, 2024","Jan 23, 2024","Jan 29, 2024","Jul 13, 2024","Jul 14, 2024","Jul 15, 2024","Jul 18, 2024","Jul 19, 2024","Jul 20, 2024","Jul 21, 2024","Jul 8, 2024","Jun 1, 2024","Jun 17, 2024","Jun 22, 2024","Jun 27, 2024","Jun 7, 2024","Mar 24, 2024","May 1, 2024","May 10, 2024","May 11, 2024","May 14, 2024","May 15, 2024","May 16, 2024","May 17, 2024","May 18, 2024","May 2, 2024","May 20, 2024","May 21, 2024","May 22, 2024","May 23, 2024","May 24, 2024","May 26, 2024","May 27, 2024","May 29, 2024","May 30, 2024","May 31, 2024","May 5, 2024","May 6, 2024","May 7, 2024","May 8, 2024","Nov 1, 2024","Nov 10, 2024","Nov 11, 2024","Nov 12, 2024","Nov 13, 2024","Nov 14, 2024","Nov 15, 2024","Nov 16, 2024","Nov 17, 2024","Nov 18, 2024","Nov 19, 2024","Nov 2, 2024","Nov 20, 2024","Nov 21, 2024","Nov 22, 2024","Nov 23, 2024","Nov 24, 2024","Nov 25, 2024","Nov 26, 2024","Nov 27, 2024","Nov 28, 2024","Nov 29, 2024","Nov 3, 2024","Nov 30, 2024","Nov 4, 2024","Nov 5, 2023","Nov 5, 2024","Nov 6, 2024","Nov 7, 2024","Nov 8, 2024","Nov 9, 2024","Oct 1, 2024","Oct 10, 2024","Oct 11, 2024","Oct 12, 2024","Oct 13, 2024","Oct 14, 2024","Oct 15, 2024","Oct 16, 2024","Oct 17, 2024","Oct 18, 2024","Oct 19, 2024","Oct 2, 2024","Oct 20, 2024","Oct 21, 2024","Oct 22, 2024","Oct 23, 2024","Oct 24, 2024","Oct 25, 2024","Oct 26, 2024","Oct 27, 2024","Oct 28, 2024","Oct 29, 2024","Oct 3, 2024","Oct 30, 2024","Oct 31, 2024","Oct 4, 2024","Oct 5, 2024","Oct 6, 2024","Oct 7, 2024","Oct 8, 2024","Oct 9, 2024","Sep 10, 2024","Sep 11, 2024","Sep 12, 2024","Sep 13, 2024","Sep 14, 2024","Sep 15, 2024","Sep 16, 2024","Sep 17, 2024","Sep 18, 2024","Sep 19, 2024","Sep 20, 2024","Sep 21, 2024","Sep 22, 2024","Sep 23, 2024","Sep 24, 2024","Sep 25, 2024","Sep 26, 2024","Sep 27, 2024","Sep 28, 2024","Sep 29, 2024","Sep 3, 2024","Sep 30, 2024","Sep 8, 2024","Sep 9, 2024"
Radeon RX 7600,,,,,,,,,,,,,,,260.25,,361.77,,265.0,253.24,212.49,229.99,173.75,,,,364.58,,,,,,,,,,,,,,,,,,,,,,,,,,,282.69,,189.99,,,,,,,,,190.75,223.0,,,,244.5,227.49,135.61,189.5,170.54,191.33,198.99,218.33,223.4,,220.0,182.5,188.33,184.99,279.5,151.33,270.49,199.5,205.17,194.12,317.67,202.5,253.5,190.0,,89.99,193.0,219.0,198.75,139.5,217.83,199.17,205.0,160.99,189.99,,210.75,225.18,194.5,237.5,189.99,209.0,245.0,209.5,200.0,113.3,182.5,294.99,228.33,246.25,182.5,183.83,149.5,199.99,196.88,178.83,257.66,206.25,210.43,195.67,196.5,190.0,180.5,195.0,206.0,189.9,299.99,190.0,190.0,143.87,240.09,190.25,240.9,227.49,193.4,244.99,181.75,,,,221.0
Radeon RX 7600 XT,,,,,,,,,,,,,,,287.66,,409.02,,276.66,302.0,,259.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.37,,,,,,,,,,,,265.0,,,,,260.0,71.22,,71.22,,,232.5,345.99,,279.99,275.0,180.0,177.49,398.76,75.0,349.66,,360.0,,,230.0,289.0,,,,,299.99,,78.99,295.0,,,72.99,,,,255.0,,,,,300.0,,,74.11,,294.99,255.0,220.0,,,72.99,,300.0,222.5,285.0,,461.25,,185.5,,,,,124.5,299.99,,,77.99,167.5,,317.24,,250.0,289.99,,,,,
Radeon RX 7700 XT,,,,,,,,,,,,,,,,,369.99,,424.95,,325.0,389.49,,,,,,,,,,,,,,,,,,329.99,,,,,,,,,,,,,,,,,,,,,,,,,399.0,399.0,350.0,399.0,399.0,393.46,399.0,399.0,374.12,,290.0,335.0,397.0,355.0,398.43,,,405.85,,,349.99,359.99,,380.0,199.9,,399.0,318.08,366.5,383.5,375.0,,,,,,,,290.0,353.0,306.67,,,,,,349.99,,439.99,,,,377.5,175.0,340.0,399.99,,,389.99,,339.99,,,,,,360.0,360.0,,,,339.05,349.0,,,,,,,357.5,,,,,,
Radeon RX 7800 XT,,,,,,,,,498.99,,,,,,302.08,,371.6,,363.8,449.0,459.99,433.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.99,,,,,,,,,,,,,,411.67,232.5,486.25,440.0,464.0,,420.0,430.0,290.0,448.8,471.0,350.0,438.13,440.99,361.27,484.99,472.0,247.07,331.89,377.5,454.75,440.69,450.0,391.5,471.66,,444.0,440.0,400.99,400.0,423.75,,443.42,294.5,452.48,359.85,,445.0,,149.0,349.0,419.75,,430.0,,360.0,366.0,455.0,400.0,425.0,428.5,309.98,470.5,445.0,,402.5,424.5,428.33,441.67,470.0,390.0,462.95,410.0,394.67,529.99,432.5,415.0,422.0,434.25,405.39,297.0,,411.0,,413.33,,,,375.18,429.95,,399.5,,405.5,499.99,450.0
Radeon RX 7900 GRE,,,,,,,,,,,,,,,,,523.33,,,460.35,522.13,500.33,,,,,,,,,,626.56,,,,,660.96,,,,,,,,,,,,,,,,,499.0,,,,652.93,,,,,,,,550.0,549.99,500.0,,543.89,,,199.99,,280.0,430.0,,,500.0,,500.0,490.0,,,529.99,500.0,450.0,499.99,477.5,,,624.5,,530.0,,,,229.99,,,489.99,,509.0,,589.48,,,539.99,,500.0,,450.0,,509.0,539.0,527.5,,509.99,,,475.0,492.0,,230.0,499.99,,,499.99,,488.5,,,,,,,93.56,519.99,,499.99,,,,,,549.99,,526.66,474.99,450.0
Radeon RX 7900 XTX,,,,,,,,,,,,,,,805.99,,677.74,,843.49,699.99,825.6,,201.0,,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.99,,849.99,,,776.33,695.0,542.4,712.25,829.48,774.67,772.9,,650.0,690.75,724.0,660.0,735.16,808.74,750.0,816.62,776.4,704.65,726.66,800.0,705.44,789.8,700.0,822.5,708.75,,,814.33,612.99,781.12,825.0,767.47,771.67,760.99,749.0,808.75,607.6,745.82,709.5,499.0,641.33,,617.0,800.0,799.0,628.75,749.99,624.0,762.5,740.0,775.0,600.41,642.5,630.0,785.33,599.0,775.33,600.0,760.0,605.83,655.93,703.33,772.25,593.0,794.73,797.5,705.71,793.0,809.0,811.67,840.0,792.0,648.0,720.0,775.0,717.6,752.83,491.25,774.0,666.84,740.0,750.0,,746.0,,721.5
Radeon RX 7900 XT,,,,,563.99,,,,,,,,,,553.97,,517.6,,724.02,485.0,569.73,660.99,,,,,,,,,,,,,,,,,,,738.9,,,,,,,,,,,,,,,,,,,,,,,,595.0,600.0,599.0,607.5,,585.99,623.71,660.0,630.0,521.59,599.99,495.0,567.5,660.25,545.0,622.5,600.0,593.88,,649.5,651.25,692.5,623.31,653.33,600.0,,433.0,619.99,629.99,,,597.0,589.99,333.0,614.33,570.0,599.5,644.99,600.0,570.0,598.33,566.66,649.99,483.33,570.0,495.0,499.32,570.0,,569.5,318.0,399.0,507.4,,422.5,583.33,589.98,,425.62,579.33,300.0,570.0,640.0,,625.0,525.67,600.0,,597.33,,690.0,586.67,607.49,,,599.0,605.0,551.33,,550.0,,,,495.0,649.99,625.0
Radeon RX 6950 XT,,,,,,,,,,,,,,479.99,,,,,,519.99,,487.24,449.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,,,474.5,490.0,451.33,249.99,479.99,423.5,769.99,,247.23,502.0,219.97,,,510.0,,,,399.0,549.99,422.0,,489.5,199.0,,463.33,,427.0,449.99,466.66,471.5,,460.0,453.33,259.0,,410.0,,374.25,472.5,,,401.25,400.0,347.98,447.48,475.0,,447.35,502.49,,399.0,,529.99,525.0,431.21,,,450.0,539.99,525.0,525.0,405.0,450.0,336.25,,422.33,389.5,409.0,450.0,,,482.0,,504.99,,524.99,427.0,,,,
Radeon RX 6900 XT,,,,,,,,,,,,,,,600.0,519.99,464.62,,402.82,506.66,296.63,275.5,398.0,,,,,,,,,,,,,,,,,,,,,,,,,212.99,,,,,,,,,,,,,,,,,448.16,422.56,423.5,335.33,425.0,391.23,453.5,289.5,367.5,499.99,411.33,440.99,482.5,420.0,338.5,258.68,405.0,398.33,343.56,408.33,325.48,437.1,483.05,452.4,462.07,,426.75,370.0,297.87,431.97,399.0,526.66,321.75,420.89,355.0,,408.62,424.5,,342.44,437.38,449.5,95.87,,377.5,389.0,377.0,407.5,349.74,439.06,,433.67,,324.0,467.17,394.32,341.38,425.0,428.07,477.5,405.8,360.0,434.67,333.33,470.0,397.4,432.5,487.5,,400.0,257.25,494.67,373.33,,457.0,390.0,449.0,339.2,401.0,380.91,334.9,461.67,,328.66,,418.32
Radeon RX 6800 XT,,,,,,,,,,,,,,,349.5,,390.12,,375.48,312.87,286.61,347.17,380.0,,,,,,,,,,,,,,,,,,,,,,,,380.0,,,449.0,419.99,405.69,,,,,,,,,,419.99,419.99,,325.75,358.32,340.0,360.84,325.2,,389.0,367.5,363.33,240.0,382.25,346.25,423.84,318.5,281.1,255.53,389.4,365.0,312.67,354.5,248.2,374.83,390.44,359.07,,,357.5,366.25,,323.3,339.98,321.25,383.34,392.0,370.66,379.0,,388.5,354.3,414.98,325.0,275.83,295.0,372.6,330.0,372.79,408.32,185.0,361.33,351.57,120.0,340.0,290.6,323.33,317.0,296.75,374.42,398.99,318.75,365.0,369.69,338.33,353.19,361.39,383.25,406.8,309.33,370.0,305.59,365.67,388.77,278.75,350.0,348.6,340.6,334.99,371.33,330.64,391.14,313.0,349.99,372.5,,368.33,232.5,301.12
Radeon RX 6800,,,,,,,,,,,,,,,313.8,,362.56,,345.12,300.55,300.63,349.78,336.67,,,,,,,,,,,,,369.97,,,,,,379.97,339.99,,,,380.0,,,449.0,419.99,405.69,,,374.97,,,,,,,419.99,419.99,,318.18,320.0,293.33,351.1,282.0,300.97,326.19,333.17,342.1,339.25,382.25,378.33,369.53,315.09,290.07,278.67,363.14,345.62,321.96,345.8,271.3,339.88,342.86,328.98,272.83,,338.33,336.58,263.84,277.13,339.99,296.37,332.1,349.75,348.39,379.0,315.77,322.42,332.64,359.79,283.33,296.25,308.0,360.13,333.33,352.01,370.98,250.99,321.67,339.69,220.0,333.33,300.76,323.33,286.56,301.99,350.87,349.66,285.0,321.5,299.21,337.0,313.71,348.95,345.13,319.52,292.88,263.72,283.32,335.56,368.77,283.83,307.25,309.07,304.52,326.65,312.83,305.75,365.31,312.3,349.99,345.37,,346.99,,
Radeon RX 6750 XT,,,,,,,,,,,339.99,,,,285.5,,,,282.27,286.83,233.4,254.82,267.0,,,,,,,382.79,,,,,,,,,286.99,,,,,,,,,,,,,,,,,,,,,,,,,,279.99,265.0,262.83,,257.5,240.0,289.99,255.0,279.97,,303.0,,325.0,230.0,299.99,280.83,292.87,236.33,230.98,289.5,280.0,296.79,,201.5,,,277.5,289.99,250.0,309.0,105.95,260.0,,,,,288.33,289.0,299.99,,285.0,328.0,280.0,285.0,306.33,250.0,,279.0,,,261.0,,259.5,,279.0,207.25,267.77,263.32,249.0,280.0,249.99,,255.0,285.0,269.95,274.33,259.6,,261.66,251.91,269.99,271.67,289.58,250.25,169.63,270.0,282.5,292.5,178.0,,149.99,261.25,,277.49,,265.0
Radeon RX 6700 XT,,,,,,,,,249.99,,,89.99,,,223.38,,249.43,,234.55,247.42,235.62,248.8,265.78,,,,,,,,,,,,,,,,,,,,339.97,,,,,,,,,,,,269.99,,,,,,,,264.99,,340.1,242.16,195.34,248.19,254.62,262.4,299.99,259.24,228.4,250.28,234.27,242.57,237.2,221.56,238.12,188.31,243.0,272.19,230.86,217.99,242.29,255.09,251.14,254.9,233.85,,252.49,263.59,231.85,250.5,306.24,235.09,244.75,238.44,256.66,228.92,257.83,241.8,240.61,251.81,236.0,230.75,247.69,240.47,229.9,243.1,268.4,276.24,174.62,241.97,252.12,261.72,252.91,211.0,262.4,245.75,204.0,248.5,250.12,237.92,251.24,237.45,205.95,231.25,212.4,265.24,225.32,236.0,233.75,228.02,196.17,232.5,226.66,228.49,235.78,225.95,205.0,217.1,219.99,247.0,270.0,213.55,299.99,253.99,,256.07
Radeon RX 6600 XT,,,,,,,179.99,159.99,,179.99,,,,,153.16,,174.19,,162.0,173.62,174.71,169.75,151.75,,229.99,,,,,,,,,,,,,266.79,,,,,,,,170.0,180.5,209.97,,,,,,,,,,,,,,,,,156.87,163.94,184.93,125.17,161.19,166.31,164.83,157.33,172.71,155.4,172.63,156.38,165.43,156.76,126.39,165.59,167.45,172.88,168.97,177.34,172.9,170.77,164.59,174.61,148.52,,185.27,156.34,160.92,135.94,144.31,170.0,170.36,181.7,165.81,165.0,152.5,167.75,168.2,150.0,162.0,156.66,167.5,171.09,130.0,171.66,172.82,158.09,134.75,143.54,152.19,150.0,,180.12,163.69,174.49,203.72,168.99,154.4,251.49,157.0,156.36,180.65,174.03,149.83,152.71,300.59,138.74,136.33,164.0,155.38,169.75,156.25,156.54,166.24,152.5,158.5,155.43,156.33,171.03,165.8,163.75,,168.33,,201.37
Radeon RX 5700 XT,,139.99,,,,,,,,,,,,,137.41,,151.22,169.0,144.66,144.41,131.96,141.58,144.75,,,,,139.99,,,,,149.99,,,,,,,,,,,,89.99,,,136.99,,,,,,,,,,,,,149.99,159.99,,126.99,135.04,127.81,127.16,150.95,138.0,135.42,148.21,150.13,145.28,142.57,135.0,129.73,131.55,129.34,161.32,140.28,142.1,127.99,144.76,140.45,139.87,144.77,125.64,156.83,121.56,,141.74,136.24,121.2,182.55,140.93,135.96,102.66,145.0,129.9,117.19,129.5,116.25,130.25,116.51,154.16,131.42,133.33,135.0,146.04,115.13,156.36,120.6,126.71,,159.5,161.24,103.35,112.43,127.66,140.22,139.5,126.33,129.19,111.98,133.86,132.59,,,,,,,,,,144.97,,,,,140.0,,,156.67,137.05,155.19,,121.28,,
Radeon RX 5700,159.99,139.99,,,,,,,,109.99,,,,,131.19,,145.97,169.0,144.69,131.99,133.53,141.58,144.75,,,,,139.99,,,,,149.99,,,,,,,,,,,,89.99,148.99,,136.99,,,,,,,,,,,,,149.99,159.99,,126.99,120.65,145.41,121.11,149.18,131.35,125.48,136.31,148.71,145.28,139.07,126.48,129.73,119.72,128.19,161.32,140.28,137.79,133.49,139.53,138.75,138.78,141.77,116.58,158.62,122.21,,141.74,136.24,121.42,170.2,145.74,,109.25,143.31,129.9,120.37,121.12,126.63,129.66,116.51,145.62,131.42,140.0,129.57,138.28,97.6,135.63,132.16,127.26,72.0,159.5,162.85,106.13,,123.83,140.22,124.8,124.31,127.27,118.71,131.81,122.99,,,,,,,,,,144.97,,,,,140.0,,,152.5,140.0,140.0,,114.99,,
Radeon RX Vega 64,,,,,,,,,,,,,,,95.5,,,,91.8,88.0,120.0,113.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,99.0,102.8,149.95,,,,80.0,60.5,71.0,,129.0,89.99,,140.0,,85.0,73.61,80.88,99.0,190.0,85.25,150.0,151.72,152.96,82.0,,,74.99,,40.0,,108.33,96.62,,,91.0,90.0,114.99,109.99,73.25,96.33,119.99,,125.0,139.5,104.98,86.35,49.85,,132.25,102.91,71.0,,89.99,,93.0,102.42,74.33,76.71,,119.99,100.0,,125.5,82.47,,39.99,98.0,,,109.0,68.0,117.81,128.5,199.99,77.49,117.5,97.0,104.98,,72.49,,,,,110.24
Radeon RX 5600 XT,,,,,,,,,,,,,,,63.84,,102.0,,114.19,104.99,99.2,92.0,95.0,,,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.33,99.5,112.5,91.43,88.33,124.16,,95.0,139.99,100.91,85.97,110.0,90.0,84.0,96.56,100.0,97.66,78.0,92.0,119.0,,108.13,92.98,78.33,,,89.67,,101.2,91.6,104.5,89.32,100.5,61.29,105.67,89.5,110.0,120.0,94.98,113.0,100.0,97.39,94.0,107.2,75.5,109.96,103.0,109.99,101.0,,106.0,,73.67,135.0,98.0,100.0,103.8,103.67,99.5,105.56,114.99,99.0,135.19,84.99,150.0,114.99,,109.0,92.5,88.68,95.12,87.0,103.05,99.75,85.59,85.0,109.99,110.0,95.54,85.0,66.41,59.99,,102.0,127.45,90.1
Radeon RX Vega 56,,,,,,,,,,,,,,,52.0,,,,86.0,350.0,80.38,133.74,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99,,,,,,,,,,,,,,,,,62.0,51.86,78.99,67.5,65.0,95.0,,85.0,56.5,69.69,,80.0,55.99,,,44.0,85.0,68.21,59.32,77.5,74.0,75.0,,59.33,,58.5,75.0,63.75,157.08,80.0,,87.99,57.0,28.77,115.0,,,80.0,,,,81.0,,77.84,,,22.0,69.0,56.0,65.0,,,,75.0,57.5,77.99,95.0,,97.48,79.99,,245.0,,,,48.0,70.5,,60.0,80.0,,80.0,58.0,83.8,53.0,73.73,134.5,109.98,,79.0,51.0,,,,63.0
Radeon RX 6500 XT,,,,,,,,,,,,,,,179.0,,89.66,,,75.6,83.99,86.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,,,,,,,,,89.97,,104.13,70.0,90.0,79.99,,87.5,77.5,,,,80.0,72.41,80.39,84.99,120.0,100.0,92.47,95.0,90.0,99.99,67.33,,89.99,,,,29.99,80.0,89.0,,,100.0,89.99,83.0,,,80.0,119.0,111.79,77.73,,90.0,69.33,,64.47,120.0,67.19,76.11,,,54.98,43.99,,99.99,119.66,110.0,87.5,70.0,,100.0,100.0,99.0,,105.0,,,97.5,86.11,91.61,89.67,79.99,,,60.0,75.0,,88.74,79.0,56.0,76.94,,79.0,,,,
Radeon RX 5500 XT,,,,,,,,,,,,,84.99,,45.8,,81.5,,75.0,69.19,61.0,,45.65,,,,,,,,,84.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,60.0,103.98,150.0,102.5,100.0,,,67.75,69.99,,90.0,93.99,54.0,,129.5,42.0,100.0,,95.0,81.66,97.39,81.66,,,65.0,463.5,259.5,,99.99,92.57,,,87.31,,60.0,,,,100.0,,100.0,,103.79,,73.99,,103.69,,,92.5,75.0,56.0,,,,,87.25,,109.99,90.0,92.48,,75.0,,75.5,60.0,,299.99,19.0,,,59.34,80.0,89.99,75.99,92.49,60.24,,,66.0,,,,
Radeon RX 590,,,,,,,,,,,,,,,56.66,,58.19,,,62.5,,105.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,65.0,49.99,,73.0,,74.95,,78.99,,40.0,,,59.0,85.0,63.19,,,,,,,,,,85.65,,52.0,55.0,76.99,,89.0,76.0,82.0,67.5,,,89.99,,55.0,100.0,100.0,,,,,99.97,49.99,,,89.98,,,72.33,79.5,,,,,65.5,,,40.0,89.98,62.0,,77.88,,63.57,85.0,80.0,62.0,97.5,,,64.99,115.5,,,,,
Radeon RX 580,,,64.99,69.99,,118.97,,,,69.99,79.97,,,,68.08,,61.28,,56.88,66.97,58.0,61.88,60.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99,,,,,,,,,,,,45.0,47.95,63.71,60.76,66.42,67.06,57.95,59.71,54.47,48.35,71.01,50.33,70.15,49.06,91.9,51.88,58.37,57.68,60.24,70.89,57.33,72.0,71.4,59.58,65.47,,63.21,53.0,54.43,60.65,65.28,,,,,,,,,99.99,,,,,,,69.0,,,,,59.99,,,59.99,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
Radeon RX 570,,,,,,,,,,,,,,,49.99,,50.7,,33.4,48.01,43.23,57.4,46.35,,,,,,,,15.64,,,,45.0,69.97,,,,,,,,79.95,,,,,,,,,,,,,48.0,49.99,59.98,,,,,,37.83,44.78,36.08,38.7,53.61,45.67,43.0,34.77,60.75,39.39,58.05,49.86,44.34,43.57,36.8,45.66,45.72,55.21,39.83,42.89,51.0,46.32,,42.77,46.46,,34.72,37.5,40.0,47.19,47.48,43.99,45.14,43.66,37.34,41.25,39.0,61.0,39.73,56.35,57.5,39.46,78.07,36.33,26.66,39.55,43.82,43.33,46.99,40.49,41.33,41.99,52.5,51.16,42.2,51.66,48.5,31.75,23.5,43.16,42.5,37.27,41.42,59.33,45.65,45.98,44.5,43.4,71.49,51.12,82.29,42.1,50.33,45.38,36.76,43.33,47.43,44.33,41.33,46.0,59.24,46.15,,48.0,,46.86
Radeon RX 560,,,,,,,,,,,,,,,31.49,,55.99,,55.0,52.08,45.29,56.25,94.97,257.9,,,,,,,,,,15.64,,,,,,,,,,,,,,52.49,54.97,,,50.0,,,,,,,,,,,,,43.8,41.66,40.0,38.25,48.32,71.28,41.99,35.5,52.49,53.31,61.96,32.33,49.95,,54.0,56.0,54.99,32.99,,44.5,64.98,47.89,45.5,79.99,44.0,,43.5,,21.0,49.0,,,,,54.24,15.5,91.5,35.99,,32.5,83.84,,104.97,44.6,42.0,39.87,31.99,50.0,16.5,36.47,50.0,51.99,54.99,99.0,47.3,44.96,49.68,37.71,,40.0,,45.0,45.99,50.0,,,44.5,43.49,52.99,42.5,39.15,,60.0,44.15,36.89,52.93,,,,57.22,50.29,61.99,,90.0,,46.99
